file,bytes,etag,last_modified
public_150k_plus_240930.csv,452077279,"1af226df-6552ef27bd028","Fri, 26 Jun 2026 21:39:45 GMT"
public_up_to_150k_1_240930.csv,413938705,"18ac3411-6552ef3048ff8","Fri, 26 Jun 2026 21:39:54 GMT"
public_up_to_150k_2_240930.csv,412495612,"18962efc-6552ef38f95d0","Fri, 26 Jun 2026 21:40:03 GMT"
public_up_to_150k_3_240930.csv,412228470,"18921b76-6552ef42c7dc8","Fri, 26 Jun 2026 21:40:13 GMT"
public_up_to_150k_4_240930.csv,403417859,"180bab03-6552ef4c4f8f0","Fri, 26 Jun 2026 21:40:23 GMT"
public_up_to_150k_5_240930.csv,406175547,"1835bf3b-6552ef5693fa0","Fri, 26 Jun 2026 21:40:34 GMT"
public_up_to_150k_6_240930.csv,411120417,"18813321-6552ef6072d50","Fri, 26 Jun 2026 21:40:44 GMT"
public_up_to_150k_7_240930.csv,405119643,"1825a29b-6552ef69265f0","Fri, 26 Jun 2026 21:40:53 GMT"
public_up_to_150k_8_240930.csv,410044760,"1870c958-6552ef72f8c68","Fri, 26 Jun 2026 21:41:04 GMT"
public_up_to_150k_9_240930.csv,406277638,"18374e06-6552ef7ba8688","Fri, 26 Jun 2026 21:41:13 GMT"
public_up_to_150k_10_240930.csv,410285658,"1874765a-6552ef857bca0","Fri, 26 Jun 2026 21:41:23 GMT"
public_up_to_150k_11_240930.csv,405702746,"182e885a-6552ef8e29b68","Fri, 26 Jun 2026 21:41:32 GMT"
public_up_to_150k_12_240930.csv,271182004,"1029e8b4-6552ef9396df8","Fri, 26 Jun 2026 21:41:38 GMT"
